source_id,source_type,source_name,review_status,priority,reason,recommended_action,claude_order
corn-futures-trading-strategy-using-weather-forecast-archive,paper,Corn Futures Trading Strategy Using Weather Forecast Archive,KEEP_CORE,very_high,Archive de previsions meteo pour trading corn; aligne avec notre journal previsions (V136); base EXT033,Fiche source tot; cas commercial a valider independamment,26
PAPER012,paper,Weather to Buy or Sell: Extreme Weather Impact on Corn Futures Market,KEEP_CORE,high,Evenements meteo extremes et corn futures; base EXT020,Fiche source; seuils ex ante uniquement,27
PAPER013,paper,"Extreme heat, corn and soybean yields, prices and farm revenues",KEEP_CORE,medium_high,"Chaleur extreme, rendements et prix; support EXT020",Lecture apres PAPER012,28
ccaspar-weather-commodities,repository,ccaspar/weather_commodities,KEEP_CORE,medium,Etude effets meteo sur mais/coton/ble,Lecture rapide; support EXT001/EXT020,29
REPO005,repository,NDelventhal/cot_reports,KEEP_CORE,very_high,Acces COT CFTC avec types de rapports; latence de publication = enjeu anti-fuite cle,Fiche source; base de EXT003; verifier date vendredi vs mardi,30
PAPER022,paper,Speculative ratios and returns volatility in South African white maize futures,KEEP_METHOD,medium,Ratios speculatifs volume/OI et volatilite; transposable aux features positionnement,Lecture avec EXT003,31
PAPER017,paper,How Market Efficiency and the Theory of Storage Link Corn and Ethanol Markets,KEEP_CORE,very_high,Theorie du stockage corn-ethanol; base EXT004,Fiche source; lien direct avec nos travaux basis,32
corn-crush-hedging-does-location-matter,paper,Corn-Crush Hedging; Does Location Matter?,KEEP_CORE,high,Crush hedging et dimension locale; base EXT029,Fiche source; risque data regional,33
distillers-grains-past-present-and-future-economic-analyses,paper,"Distillers' Grains: Past, Present, and Future Economic Analyses",KEEP_CORE,medium_high,Economie des DDG; base EXT030,Fiche source; verifier historiques DDG disponibles,34
commodity-storage-and-the-market-effects-of-biofuel-policies,paper,Commodity Storage and the Market Effects of Biofuel Policies,KEEP_CORE,high,Carter/Rausser/Smith 2017: stockage et politiques biofuel; base EXT031,Fiche source; usage descriptif/regime,35
PATENT007,patent,"US9087312B1 - Drying, weather, moisture and storage costs",KEEP_CORE,medium_high,Sechage/humidite/couts de stockage: mecanisme economique pertinent pour basis et stockage,Fiche source; croiser avec EXT004/EXT031,36
PATENT010,patent,AU2011202458B8 - Basis futures,KEEP_CORE,medium_high,Basis futures et couverture locale vs futures; concept central pour notre etude basis,Fiche source; extraire le mecanisme economique,37
PAPER016,paper,Futures-spot price transmission in EU corn markets,KEEP_CORE,high,Transmission CBOT/Euronext vers spot UE; tres pertinent pour EMA; base EXT013,Fiche source; risque DATA_BLOCKED si pas de spot UE,38
futures-spot-price-transmission-in-eu-corn-markets,paper,Futures–spot price transmission in EU corn markets,KEEP_CORE,high,Doublon du seed PAPER016,Fusionner avec PAPER016; une seule fiche,39
PAPER014,paper,Price discovery between futures and spot markets for U.S. corn,KEEP_CORE,medium,Price discovery futures-spot US corn,Support EXT013; lecture secondaire,40
PAPER011,paper,Forecasting the Spot Price of Corn: Methods and Assessment,KEEP_CORE,high,Forecast spot corn 1-12 mois; base EXT024,Fiche source; verifier usage de vintages,41
PAPER002,paper,Machine learning to predict grains futures prices,KEEP_CORE,high,LSTM vs econometrie sur grains; cadre de comparaison utile,Fiche source apres les baselines,42
PAPER029,paper,Democratising Agricultural Commodity Price Forecasting: The AGRICAF Approach,KEEP_CORE,very_high,AGRICAF: ML explicable + econometrie sur mais; tres proche de notre demarche,Fiche source tot,43
REPO001,repository,PrayusShrestha/crop-price-prediction,KEEP_CORE,high,"Projet corn futures + meteo, directement comparable a nos blocs ML/meteo",Fiche source puis comparer protocole de split au notre,44
cstainbrook-corn-futures-capstone,repository,cstainbrook/Corn-Futures-Capstone,KEEP_CORE,high,"Capstone corn futures + meteo + hedging, directement dans le sujet",Fiche source; comparer features meteo a EXT001/EXT002,45
seemakanuri-corn-yield-and-futures-price-prediction,repository,SeemaKanuri/Corn-Yield-and-Futures-Price-Prediction,KEEP_CORE,high,"Corn futures avec indices climat, planting progress, stocks; recoupe EXT019/EXT027",Fiche source; verifier gestion des lags de publication,46
helios-sc-helios-corn-futures-climate-risk-challenge,repository,helios-sc/helios-corn-futures-climate-risk-challenge,KEEP_CORE,medium_high,Challenge Kaggle climat-risque corn futures avec code participant,Fiche source; extraire idees features climat,47
can-satellite-data-forecast-valuable-information-from-usda-reports,paper,Can Satellite Data Forecast Valuable Information from USDA Reports?,KEEP_CORE,high,Piette 2019: satellite comme proxy d info USDA; base EXT028,Fiche source; horodatage satellite critique,48
using-sentinel-2-data-to-predict-the-return-of-grain-futures-and-build-a-profitable-strategy,paper,Using Sentinel-2 data to predict the return of grain futures and build a profitable strategy,KEEP_CORE,medium,Sentinel-2 sur retours grain futures avec strategie; support EXT022/EXT028,Fiche source si EXT028 est lance,49
ai-driven-news-enhanced-machine-learning-for-short-term-corn-futures-price-forecasting,paper,AI-Driven News-Enhanced Machine Learning for Short-Term Corn Futures Price Forecasting,KEEP_CORE,medium,Corn futures + news GDELT (attention > sentiment); gain directionnel modeste mais corn-specifique,Support EXT023; lecture secondaire,50
PAPER009,paper,Forecasting Volatility of Returns for Corn Using GARCH Models,KEEP_METHOD,high,GARCH/TGARCH/EGARCH sur corn; base EXT009,Fiche source; parametres entraines sur passe seulement,51
PAPER042,paper,Seasonal Stochastic Volatility and Samuelson Effect in Agricultural Futures Markets,KEEP_METHOD,high,Vol saisonniere + effet Samuelson en agricole; tres pertinent pour vol mais,Fiche source avec EXT009/EXT010,52
PAPER010,paper,Price Volatility Forecasts for Agricultural Commodities,KEEP_METHOD,medium,"Vol corn/ble avec GARCH, BEKK, vol implicite",Support EXT009; lecture apres PAPER009,53
PAPER037,paper,COMEX Copper Futures Volatility Forecasting,KEEP_METHOD,medium,"HAR sur cuivre; methode HAR transposable, base EXT010",Lecture methode seulement (marche eloigne),54
REPO007,repository,chrism2671/PyTrendFollow,KEEP_METHOD,medium,"Trend-following futures propre, benchmark face au ML",Fiche source; base de EXT011,55
REPO008,repository,quantiacs/strategy-futures-trend-following,KEEP_METHOD,medium,Strategie trend-following reproductible (Quantiacs),Comparer regles a PyTrendFollow; support EXT011,56
REPO009,repository,amstrdm/mlm-trend-following,KEEP_METHOD,low,Trend-following Mount Lucas minimal (3 fichiers); filtre MA/vol basique,Lecture rapide; support secondaire EXT011,57
engineerinvestor-systematic-trend-following-with-managed-futures,repository,engineerinvestor/systematic-trend-following-with-managed-futures,KEEP_METHOD,medium,Scaffold trend-following multi-actifs avec contrats continus valides,Support EXT011; comparer construction de series continues a EXT006,58
sirfrancisg-commodity-seasonality-backtest,repository,SirFrancisG/Commodity-Seasonality-Backtest,KEEP_METHOD,medium,Backtest saisonnalite commodities avec walk-forward; la saisonnalite mais est centrale,Fiche source; croiser avec EXT017/EXT035,59
REPO006,repository,YavuzAkbay/Ornstein-Uhlenbeck,KEEP_METHOD,medium,Benchmark Ornstein-Uhlenbeck pour mean-reversion du basis,Fiche source; base de EXT012; demi-vie estimee sur passe uniquement,60
PAPER041,paper,A stochastic model for commodity pairs trading,KEEP_METHOD,medium,Pairs trading OU-Levy avec couts; support EXT012,Lecture avec REPO006,61
prochalo-commodity-regime-bench,repository,prochalo/commodity-regime-bench,KEEP_METHOD,medium_high,Benchmark regime-switching walk-forward avec tests de significativite; base EXT035,Fiche source; croiser avec notre _build_regimes,62
PAPER035,paper,Adaptive market efficiency of agricultural futures,KEEP_METHOD,medium,Efficience adaptative des futures agricoles; base EXT017,Fiche source si EXT017 est lance,63
PAPER031,paper,Analysis of Agricultural Commodities Prices with New Bayesian Model Combination Schemes,KEEP_METHOD,high,DMA/BMA pour combinaison de modeles; base EXT014,Fiche source; poids appris walk-forward,64
PAPER032,paper,Agricultural futures prices combination forecasting with whole-process interpretable method,KEEP_METHOD,high,Selection MI/SHAP interpretable; base EXT015,Fiche source; selection dans chaque split train,65
PAPER028,paper,Predicting Agricultural Commodities Prices with Machine Learning,KEEP_METHOD,high,Revue ML prix agricoles; mine d idees et de pieges,Lecture transversale en debut d etape 2,66
REPO011,repository,cchallu/nbeatsx,KEEP_METHOD,medium,Implementation officielle NBEATSx avec exogenes,Fiche source; base de EXT016; apres baselines simples,67
PAPER020,paper,Text-based corn futures price forecasting using improved NBEATSx,KEEP_METHOD,medium_high,NBEATSx + sentiment + SHAP sur Dalian; methode pour EXT016/EXT023,Fiche source si EXT016 est lance,68
PAPER030,paper,The Promise of Time-Series Foundation Models for Agricultural Forecasting,KEEP_METHOD,medium,Foundation models TS sur prix agricoles; base EXT021,Differer; risque memorisation eleve,69
PAPER039,paper,Commodity futures curves with Nelson-Siegel,KEEP_METHOD,medium,Nelson-Siegel sur courbes futures; utile pour EXT005/EXT034,Lecture methode,70
wur-ai-agml-cy-bench,repository,WUR-AI/AgML-CY-Bench,KEEP_METHOD,medium_high,Benchmark rendement serieux (48 stars) avec predicteurs spatio-temporels standardises; base EXT037,Fiche source; ne pas confondre forecast rendement et forecast prix,71
explosions-of-corn-futures-prices,paper,'Explosions' of Corn Futures Prices,MANUAL_REVIEW,medium,Corn-specifique mais contenu et date inconnus; potentiellement utile pour mouvements extremes,Verifier abstract; trancher KEEP_CORE vs LOW,80
alekhya-puli14-agricultural-commodity-futures-price-prediction,repository,alekhya-puli14/Agricultural-Commodity-Futures-Price-Prediction,MANUAL_REVIEW,low,Notebook sans description ni stars; contenu inconnu,Ouvrir 5 min pour trancher REJECT vs LOW_PRIORITY,81
manual-google-patents-search-agricultural-commodity-price-prediction-machine-learning-patent,patent,Manual Google Patents search - agricultural commodity price prediction machine learning patent,MANUAL_REVIEW,low,"Enregistrement de requete Google Patents (503 lors de la decouverte), pas une source",Re-executer la recherche manuellement; supprimer la fiche placeholder associee,82
manual-google-patents-search-crop-price-forecasting-satellite-patent,patent,Manual Google Patents search - crop price forecasting satellite patent,MANUAL_REVIEW,low,"Enregistrement de requete Google Patents (503 lors de la decouverte), pas une source",Re-executer la recherche manuellement; supprimer la fiche placeholder associee,83
manual-google-patents-search-futures-price-prediction-commodity-machine-learning-patent,patent,Manual Google Patents search - futures price prediction commodity machine learning patent,MANUAL_REVIEW,low,"Enregistrement de requete Google Patents (503 lors de la decouverte), pas une source",Re-executer la recherche manuellement; supprimer la fiche placeholder associee,84
manual-google-patents-search-agricultural-futures-risk-management-patent,patent,Manual Google Patents search - agricultural futures risk management patent,MANUAL_REVIEW,low,"Enregistrement de requete Google Patents (503 lors de la decouverte), pas une source",Re-executer la recherche manuellement; supprimer la fiche placeholder associee,85
manual-google-patents-search-basis-futures-agricultural-patent,patent,Manual Google Patents search - basis futures agricultural patent,MANUAL_REVIEW,low,"Enregistrement de requete Google Patents (503 lors de la decouverte), pas une source",Re-executer la recherche manuellement; supprimer la fiche placeholder associee,86
manual-google-patents-search-grain-storage-drying-weather-price-patent,patent,Manual Google Patents search - grain storage drying weather price patent,MANUAL_REVIEW,low,"Enregistrement de requete Google Patents (503 lors de la decouverte), pas une source",Re-executer la recherche manuellement; supprimer la fiche placeholder associee,87
manual-google-patents-search-crop-yield-price-prediction-patent,patent,Manual Google Patents search - crop yield price prediction patent,MANUAL_REVIEW,low,"Enregistrement de requete Google Patents (503 lors de la decouverte), pas une source",Re-executer la recherche manuellement; supprimer la fiche placeholder associee,88
REPO002,repository,squeeze-team/AgriJedi,LOW_PRIORITY,low,"Application agri-AI generaliste (satellite/agent), architecture sans methode de forecast evaluable",Ignorer sauf besoin d inspiration architecture,0
REPO010,repository,AsyncAlgoTrading/aat,LOW_PRIORITY,low,"Framework de trading event-driven generique, pas de methode de forecast",Ignorer; inspiration architecture seulement,0
clycites-clycites-experiment,repository,ClyCites/ClyCites-Experiment,REJECT,none,"Plateforme agri ML generaliste JS, 2 stars, sans methode ni evaluation serieuse",Ecarter,0
bideeen-building-a-trading-strategy-with-python,repository,bideeen/Building-A-Trading-Strategy-With-Python,REJECT,none,"Tutoriel momentum/mean-reversion actions, sans rapport avec le mais ni methode originale",Ecarter,0
prathik-16-smart-farmer-assistant,repository,Prathik-16/Smart-Farmer-Assistant,REJECT,none,"App d aide agriculteurs (Inde), hors perimetre futures",Ecarter,0
sakshib71-farmassit-ml,repository,SakshiB71/Farmassit_ml,REJECT,none,"Backend agri-tech generique, pas de methode de forecast evaluable",Ecarter,0
josephchamakal-cftc-web-scraper,repository,josephchamakal/CFTC-web-scraper,LOW_PRIORITY,low,Scraper COT redondant avec NDelventhal/cot_reports,Garder comme fallback data si REPO005 casse,0
mikolajgolowski-financial-cot-data-fetcher,repository,MikolajGolowski/financial-cot-data-fetcher,LOW_PRIORITY,low,Fetcher COT redondant avec REPO005,Garder comme fallback data,0
vishalskyfall-crop-price-yield-prediction,repository,vishalskyfall/Crop_PRICE-YIELD_Prediction,REJECT,none,"App JS prediction prix/rendement generique, sans evaluation",Ecarter,0
bistonn-tg-preco-milho,repository,BistonN/tg-preco-milho,LOW_PRIORITY,low,"Projet etudiant prix mais Bresil (cash), 0 star, transferabilite faible",Ne lire que si EXT024 manque de references,0
capitalfear-fredfacts,repository,capitalfear/Fredfacts,REJECT,none,"Assistant RAG pour futures ES/NQ (equity), hors perimetre",Ecarter,0
tauadjm-futuresai,repository,tauadjm/FuturesAI,REJECT,none,"Systeme auto-trading futures chinois, hors perimetre et non auditable",Ecarter,0
dinaludagedara-srigrow,repository,dinalUdagedara/SriGrow,REJECT,none,"App agricole Sri Lanka, hors perimetre",Ecarter,0
quantiacs-strategy-futures-commodity,repository,quantiacs/strategy-futures-commodity,LOW_PRIORITY,low,Template strategie avec data IMF generique,Ignorer sauf besoin du loader IMF,0
tezamo-fpma,repository,tezamo/FPMA,LOW_PRIORITY,low,Archive prix alimentaires FAO mensuels; lag mensuel limite l usage; lie a EXT036,Ne traiter que si EXT036 est lance,0
PAPER019,paper,LSTM on Dalian corn futures,LOW_PRIORITY,low,"LSTM corn Dalian; marche chinois, transferabilite faible",Ignorer sauf besoin EXT023,0
PAPER021,paper,Novel forecasting of white maize futures volatility with hybrid GARCH-BLSTM,LOW_PRIORITY,low,GARCH-BLSTM mais blanc sud-africain; hybride DL peu transferable,Ignorer,0
PAPER023,paper,Volatility spillovers in the South African white maize market,LOW_PRIORITY,low,"Spillovers mais blanc Afrique du Sud, eloigne",Ignorer,0
PAPER024,paper,Random Forest on spot and futures corn prices in Brazil,LOW_PRIORITY,low,"Random forest Bresil, faible methode",Ignorer,0
PAPER025,paper,External shocks and international corn price fluctuations,LOW_PRIORITY,low,Chocs externes TVP-VAR COVID; macro descriptif,Ignorer sauf contexte EXT024,0
PAPER026,paper,Multiscale correlation of Sino-US corn futures and crude oil,LOW_PRIORITY,low,Correlations multiscale Chine-US-petrole,Ignorer,0
PAPER033,paper,Multi-step commodity forecasts using deep learning,LOW_PRIORITY,low,DL multi-horizon generique,Ignorer,0
PAPER034,paper,CNN and aerial images for wheat futures,LOW_PRIORITY,low,"CNN images aeriennes ble; satellite optionnel, base lointaine EXT022",Ne traiter que si EXT022 est active,0
PAPER036,paper,Extreme Measures of Agricultural Financial Risk,LOW_PRIORITY,low,"VaR/ES/risque spectral; mesure de risque, pas de forecast",Ignorer,0
PAPER038,paper,Energy markets with GARCH and machine learning,LOW_PRIORITY,low,"GARCH+ML energie (petrole/gaz), marche eloigne",Ignorer,0
PAPER040,paper,Kriging and interpolation of commodity futures curves,LOW_PRIORITY,low,"Kriging de courbes futures; interpolation, besoin non identifie",Ignorer,0
forecasting-natural-gas-futures-price-movements-using-machine-learning-and-deep-learning-models-a-comparative-study,paper,Forecasting Natural Gas Futures Price Movements Using Machine Learning and Deep Learning Models: A Comparative Study,LOW_PRIORITY,low,Gaz naturel uniquement (regle LOW explicite),Ignorer,0
research-on-stock-and-futures-price-forecasting-based-on-machine-learning,paper,Research on Stock and Futures Price Forecasting Based on Machine Learning,REJECT,none,ML generique actions/futures sans specificite ni profondeur,Ecarter,0
forecasting-thai-agricultural-price-a-deep-learning-approach-for-key-commodities,paper,Forecasting Thai Agricultural Price: A Deep Learning Approach for Key Commodities,REJECT,none,"Commodities thai, DL generique, hors perimetre",Ecarter,0
agricultural-commodity-price-forecasting-using-comprehensive-machine-learning-techniques,paper,Agricultural Commodity Price Forecasting Using Comprehensive Machine-Learning Techniques,LOW_PRIORITY,low,ML agricole generique sans focalisation corn,Ignorer,0
forecasting-agricultural-commodity-prices-from-satellite-data-satellite-data-using-machine-learning,paper,Forecasting agricultural commodity prices from satellite data satellite data using machine learning,LOW_PRIORITY,low,Satellite generaliste (regle LOW explicite),Ne traiter que si EXT022 est active,0
examining-bitcoin-price-volatility-transmission-between-spot-and-futures-markets,paper,Examining Bitcoin Price Volatility Transmission between Spot and Futures Markets,REJECT,none,Bitcoin (regle REJECT explicite),Ecarter,0
volatility-spillover-between-bist-30-futures-and-spot-markets-a-dcc-garch-analyses-volatility-spillover-between-bist-30-futures-and-spot-markets-a-dcc-garch-analyses,paper,VOLATILITY SPILLOVER BETWEEN BIST 30 FUTURES AND SPOT MARKETS: A DCC-GARCH ANALYSES Volatility Spillover between Bist 30 Futures and Spot Markets: A DCC-GARCH Analyses,REJECT,none,BIST futures (regle REJECT explicite),Ecarter,0
volatility-dynamics-and-futures-pricing-a-garch-based-analysis-of-cac40-markets,paper,Volatility Dynamics and Futures Pricing: A GARCH-Based Analysis of CAC40 Markets,REJECT,none,CAC40 futures (regle REJECT explicite),Ecarter,0
research-on-multivariate-futures-price-forecasting-based-on-imat-lstm-model,paper,Research on Multivariate Futures Price Forecasting Based on IMAT-LSTM Model,LOW_PRIORITY,low,LSTM generique non specifique,Ignorer,0
application-of-ceemdan-and-lstm-for-futures-price-forecasting,paper,Application of CEEMDAN and LSTM for Futures Price Forecasting,LOW_PRIORITY,low,CEEMDAN-LSTM generique; famille decomposition+DL a fort risque de fuite,Ignorer,0
investor-sentiment-and-forecasting-ability-evidence-from-cot-reports-in-precious-metal-futures-markets,paper,Investor Sentiment and Forecasting Ability: Evidence from COT Reports in Precious Metal Futures Markets,LOW_PRIORITY,low,COT mais metaux precieux; methode eventuellement transposable a EXT003,Survoler si EXT003 manque de references,0
regulatory-structure-in-futures-markets-jurisdictional-competition-among-the-sec-the-cftc-and-other-agencies,paper,"Regulatory Structure in Futures Markets:  Jurisdictional Competition Among the SEC, the CFTC, and Other Agencies",REJECT,none,Article purement reglementaire de 1984 (regle REJECT explicite),Ecarter,0
ai-driven-agricultural-commodity-price-forecasting-with-hybrid-models-and-scalable-data-infrastructure,paper,AI-driven agricultural commodity price forecasting with hybrid models and scalable data infrastructure,LOW_PRIORITY,low,Papier infra/hybride generique,Ignorer,0
price-discovery-in-the-chinese-corn-futures-market-with-comparisons-to-soybean-futures,paper,"Price Discovery in the Chinese Corn Futures Market, With Comparisons to Soybean Futures",LOW_PRIORITY,low,"Marche chinois, transferabilite faible",Ignorer,0
main-challenges-of-price-volatility-in-agricultural-commodity-markets,paper,Main Challenges of Price Volatility in Agricultural Commodity Markets,LOW_PRIORITY,low,"Survol policy 2011, descriptif",Ignorer,0
cellulosic-ethanol-price-catches-up-with-corn-ethanol,paper,Cellulosic ethanol price catches up with corn ethanol,LOW_PRIORITY,low,"Techno ethanol cellulosique, lien marche mais indirect",Ignorer,0
water-in-the-u-s-ethanol-tax-credit-and-mandate-implications-for-rectangular-deadweight-costs-and-the-corn-oil-price-relationship,paper,'Water' in the U.S. Ethanol Tax Credit and Mandate: Implications for Rectangular Deadweight Costs and the Corn-Oil Price Relationship,LOW_PRIORITY,low,Policy ethanol/taxe; contexte lointain pour EXT031,Survoler seulement si EXT031 est lance,0
PATENT001,patent,US11138677B2 - Machine learning in an online agricultural system,LOW_PRIORITY,low,Systeme agricole ML large; brevet systeme peu actionnable,Ignorer,0
PATENT002,patent,KR102765471B1 - Agricultural price prediction with satellite data,LOW_PRIORITY,low,Prediction prix par satellite; trop general,Ignorer,0
PATENT003,patent,KR102634529B1 - Multi-stage time series agricultural price prediction,LOW_PRIORITY,low,Prediction multi-etapes generique,Ignorer,0
PATENT004,patent,CN115730980A - Commodity price prediction by multi-model fusion,LOW_PRIORITY,low,Fusion multi-modeles generique,Ignorer,0
PATENT005,patent,US7693801B2 - Forecasting commodity prices using capacity utilization,LOW_PRIORITY,low,Capacite/tension de marche; idee stocks-to-use deja couverte en interne,Ignorer,0
PATENT006,patent,WO2019224347A1 / US20210208307A1 - Field-level weather ML,LOW_PRIORITY,low,Meteo field-level; granularite inutile pour futures,Ignorer,0
PATENT008,patent,US7702597B2 / US20220067614A1 - Crop yield prediction,LOW_PRIORITY,low,Prediction rendement; couvert par CY-Bench plus serieux,Ignorer,0
PATENT009,patent,US11393029B2 / US11367152B2 - Futures margin modeling and seasonality,LOW_PRIORITY,low,Marges futures et saisonnalite; eloigne du forecast,Ignorer,0
