id,source_id,source_type,source_name,idea_name,description,data_required,feature_family,target_horizon,expected_benefit,difficulty,leakage_risk,implementation_status,experiment_id,priority,notes,final_verdict,final_reason,integrate_in_main_study,step7_action
EXT018_weather_risk_premium_new_crop,PAPER008,article,Janzen weather risk premium,weather_risk_premium_new_crop,Test new-crop December weather premium,December futures and crop calendar,weather_premium,H40-H120,Seasonal premium insight,medium,conditionnement de stress contemporain,done_step4_PARTIAL_DATA,EXT018,very_high,Contract mapping matters || Etape4 2026-06-13: PARTIAL_DATA; descriptif CONFIRME (Janzen): biais baissier pre-recolte normal vs rally stress; predictif REJECT; next: Pas de contrats Dec; stress connu seulement en contemporain -> non ex ante. Sourcer contrats Dec + brancher EXT033,PARTIAL_DATA,Volet descriptif valide; predictif non exploitable ex ante (V45),Sourcer contrats Dec + brancher EXT033,non (descriptif seulement)
EXT019_crop_condition_report_features,PAPER014,paper,Crop reports and phase,crop_condition_report_features,Use crop condition report surprises and timing,NASS crop progress/condition,weather,H20-H60,Better growing-season signal,medium,none (publication lundi->mardi),done_step4_IMPROVE,EXT019,high,"RECOUVREMENT avec EXT027: fusion recommandee, EXT027 prend le lead (Lehecka = meme donnee mieux protocolee). Garder EXT019 pour le volet non-surprise (niveaux de progression semis/recolte). || Etape4 2026-06-13: IMPROVE; dDA +4.4 pts H90 (stable 2 moities), RMSE neutre; nul a court terme; next: Cible DIRECTION/score de vente long-horizon; combiner avec WASDE stocks-to-use (EXT007)",IMPROVE,Meilleur signal fondamental directionnel long horizon; DM non significatif,Combiner avec WASDE stocks-to-use,oui (cible direction/score long-horizon)
EXT020_extreme_weather_events,PAPER012,thesis,Filimon extreme weather,extreme_weather_events,Create heat/drought event flags,Weather extremes and crop stage,weather,H5-H60,Event-driven stress signal,medium,none,done_step4_REJECT,EXT020,high,Ex ante thresholds only || Etape4 2026-06-13: REJECT; dRMSE +32 a +116% (pire); R2 OOS jusqu'a -3.4; next: Extremes realises non predictifs; garder en contexte (basis moins compressible),REJECT,Extremes realises non predictifs; price-in,-,non (contexte: basis moins compressible)
EXT021_time_series_foundation_models,PAPER030,paper,TS foundation models,ts_foundation_models,Test zero-shot/fine-tuned TSFM cautiously,Historical price series,foundation_model,H20-H120,Modern benchmark,high,high,not_started,EXT021,medium,High memorization and leakage risk. Bloc 4 differe; ne lancer qu apres EXT025 et seulement avec protocole de contamination temporelle documente.,,,,
EXT022_satellite_ndvi_optional,PAPER034,paper,Aerial images wheat futures,satellite_ndvi_optional,Assess NDVI/satellite feature feasibility,Remote sensing archive,satellite,H20-H90,Optional crop health proxy,high,medium,not_ready_data_missing,EXT022,low_medium,Archive satellite historique non disponible chez nous; ne pas lancer avant decision data. Baseline phenologique par stade (idee AgriJedi) si activation future.,,,,
EXT023_sentiment_news_optional,PAPER020,paper,Text NBEATSx Dalian,sentiment_news_optional,Evaluate news or search sentiment,News/search time series,sentiment,H20-H60,Possible attention signal,high,high,not_started,EXT023,low_medium,Timestamping is critical,,,,
EXT024_var_supply_demand_benchmark,PAPER011,thesis,Halonen corn spot forecasting,var_supply_demand_benchmark,Build VAR supply-demand benchmark,Supply demand macro variables,econometric,H60-H252,Long-horizon baseline,medium,medium,done_step5_IMPROVE,EXT024,high,"Use vintages or publication lags || Etape5 2026-06-13: IMPROVE; DA dir H90 0.599->0.658, AUC 0.61->0.71, Brier mieux, stable 2 moities; next: Garder crop@H90 + wasde@H40 (1 signal/horizon, parcimonie); cible direction/score de vente, jamais RMSE",IMPROVE,Signal directionnel le plus fort du programme; parcimonie (1 signal/horizon),"Corrige etape5bis (n 3961->3933); DM non signif, IC chevauche marche",oui (logit parcimonieux crop@H90 + wasde@H40)
EXT025_random_walk_and_futures_price_benchmark,PAPER027,report,Reeve Vigfusson futures benchmark,random_walk_and_futures_price_benchmark,Compare models to random walk and futures-price baselines,Prices futures curves,baseline,all,Forecasting discipline,low,low,done_step3,EXT025,very_high,"FAIT 2026-06-12: verdict KEEP. RW = meilleure baseline partout (0/36 benchmarks la battent, DM p<0.10). Tableau de reference produit pour CBOT+EMA H5-H90. Basis DATA_BLOCKED partiel (pas d eurusd quotidien en interim). Futures-as-forecast bloque (pas de courbe historique).",KEEP,La random walk est la baseline de prix la plus dure; reference de tout le programme,Tableau metrics_ext025.csv = reference RMSE pour tout EXT,oui (deja le benchmark implicite)
EXT026_wasde_parser_vintage_pipeline,fdfoneill/wasdeparser,repository,wasdeparser,wasde_parser_vintage_pipeline,Prototype WASDE vintage ingestion with explicit publication dates,WASDE files and release calendar,events,H1-H90,Cleaner WASDE surprise features,medium,high,done_step3,EXT026,very_high,"FAIT 2026-06-12: verdict KEEP. Vintage 207 rapports 2002-2025 construit et VALIDE (24/24 sur 3 rapports historiques). FUITE detectee dans wasde.parquet interne: 143/160 rapports visibles ~8j avant publication reelle -> correction a proposer en ticket projet. 77% dates reelles, 23% fallback jour-12 conservateur.",KEEP,Source WASDE anti-fuite unique; fuite interne documentee,Ticket projet: recaler expansion interne sur publication+1BD,oui (source WASDE des features)
EXT027_crop_progress_condition_surprises,Lehecka_2014,paper,USDA crop progress value,crop_progress_condition_surprises,Build weekly crop progress and condition surprises by state and crop phase,NASS crop progress/condition releases,weather_crop,H5-H60,Growing-season public information signal,medium,high,not_started,EXT027,very_high,Lundi 16h ET -> utilisable J+1; climatologie d attente train-only; asymetrie deteriorations>ameliorations (Lehecka); concentre juillet-aout. Absorbe le volet surprise de EXT019.,NOT_RUN,Propose mais non execute; donnee publique datee disponible,Absorbe partiellement par EXT019; voie la plus actionnable saison,a tester (etape future)
EXT028_satellite_usda_report_proxy,Piette_2019,paper,Satellite data and USDA reports,satellite_usda_report_proxy,Test whether NDVI or satellite anomalies proxy upcoming USDA report information,Satellite archive plus USDA releases,satellite,H20-H90,Early crop-health signal,high,high,not_ready_data_missing,EXT028,high,Timestamp satellite availability carefully,,,,
EXT029_corn_crush_location_basis,Dahlgran_Gupta_2019,paper,Corn-crush hedging,corn_crush_location_basis,Create ethanol crush and local basis stress features by region,Ethanol corn DDG gas and basis data,ethanol_basis,H20-H90,Explain ethanol demand and local basis pressure,high,medium,not_started,EXT029,high,Data availability may block regional replication,,,,
EXT030_ddg_feed_substitution,Gertner_2021,thesis,Distillers grains economics,ddg_feed_substitution,Model DDG price ratio as feed substitution pressure against corn and soybean meal,DDG corn soybean meal livestock feed data,feed_substitution,H20-H90,Better demand-side corn context,high,medium,not_ready_data_missing,EXT030,medium_high,"GO/NO-GO inventaire des series DDG publiques (USDA AMS) avant toute feature: profondeur, ruptures, datation. Sans series fiables -> DATA_BLOCKED, la marge crush simplifiee (EXT004) reste testable.",,,,
EXT031_biofuel_policy_storage_regime,Carter_Rausser_Smith_2017,paper,Biofuel policy and storage,biofuel_policy_storage_regime,Test biofuel-policy and storage-regime interactions with corn tightness,Ethanol mandates stocks-to-use storage proxies,storage_ethanol,H60-H252,Long-run regime explanation,medium,medium,not_started,EXT031,high,Best suited to descriptive/regime tests,,,,
EXT032_usda_report_impact_ranking,NCGA_USDA_report_2022,report,USDA report accuracy impact,usda_report_impact_ranking,Rank USDA report families by historical corn-market impact before feature engineering,USDA release calendar intraday/daily futures,events,H1-H20,Reduce low-value event clutter,medium,medium,not_started,EXT032,high,Use as filter for WASDE/NASS event studies,,,,
EXT033_weather_forecast_archive_features,CropProphet_2026,case_study,Weather forecast archive strategy,weather_forecast_archive_features,Use archived forecasts and forecast revisions instead of realized weather for predictive weather features,Historical forecast archive and realized futures,forecast_weather,H5-H40,Forward-realistic weather signal,high,high,not_started,EXT033,very_high,"Commercial case; valider independamment. DATA-GATED: notre archive V136 demarre 2026 -> test forward + reconstruction previous-runs Open-Meteo (debloquee V152-SYNC). Feature: revision_j = prev(j,h) - prev(j-1,h+1) zones corn US.",DATA_BLOCKED,Seule voie meteo predictive (V45); archive forward trop courte,Accumuler archive previsions forward 2026+,non (en attente d'archive)
EXT034_calendar_spread_strategy_benchmark,facundoallia_calendar_spread,repository,Calendar spread forecasting,calendar_spread_strategy_benchmark,Benchmark nearby-deferred/calendar-spread forecasting and strategy rules,Contract-level futures curve,curve_strategy,H20-H90,Better curve and roll discipline,medium,medium,not_started,EXT034,medium_high,Useful for EMA/CBOT curve fragments too,,,,
EXT035_regime_switching_benchmark,prochalo_commodity_regime_bench,repository,Commodity regime benchmark,regime_switching_benchmark,Replicate walk-forward regime-switching benchmark on corn/basis targets,Prices features and regimes,regime,H20-H90,Test whether signal depends on regimes,medium,medium,not_started,EXT035,medium,No holdout use without review,,,,
EXT036_fao_fpma_maize_context,tezamo_FPMA,repository,FAO FPMA data,fao_fpma_maize_context,Add external maize/food-price context for global and regional stress,FAO FPMA monthly prices,physical_prices,H60-H252,International price-pressure context,medium,medium,not_started,EXT036,medium,Monthly lag limits short horizons,,,,
EXT037_agml_yield_benchmark_features,WUR_AI_AgML_CY_Bench,repository,CY-Bench,agml_yield_benchmark_features,Adapt crop-yield benchmark feature families to corn futures stress context,Yield weather remote sensing predictors,yield_weather,H40-H180,Better yield-shock proxies,high,medium,not_started,EXT037,medium_high,Forecasting price is separate from forecasting yield,,,,
EXT038_wasde_stocks_to_use,REPO003,repository,mindymallory/PriceAnalysis,wasde_stocks_to_use,Stocks-to-use US (niveau date publication + surprise vs rapport precedent) comme variable fondamentale de niveau/direction CBOT,WASDE vintages (EXT026) ou proxy M-M-1,fundamental,H20-H252,Baseline economique du niveau de prix,medium,high,not_started,EXT024,high,"Attention rupture de regime de la relation stocks->prix (Carter-Rausser-Smith): estimer en expandant, dater les regimes ex ante Debloque par EXT026 (stocks-to-use vintage disponible).",IMPROVE,Signal directionnel le plus fort du programme; parcimonie (1 signal/horizon),"Corrige etape5bis (n 3961->3933); DM non signif, IC chevauche marche",oui (logit parcimonieux crop@H90 + wasde@H40)
EXT039_full_carry_distance,REPO003,repository,PriceAnalysis ch9 + Hu et al. + PATENT007,full_carry_distance,Distance du spread nearby-deferred CBOT au full carry financier (taux + stockage; cout variable en option) comme z expandant -> direction nearby H20-H60,"Contrats CBOT (EXT006), taux courts, cout stockage ex ante",futures_curve,H20-H60,Quantifie la courbe (V125 NARROWING) en signal teste,medium,medium,not_started,EXT005,very_high,Theorie du stockage: spread serre vs carry = stocks serres = haussier nearby,DATA_BLOCKED,Pas de courbe profonde; EMA accumulee ~2 semaines,Sourcer contrats CBOT par maturite + courbe >=250j,non (bloque)
EXT040_cot_mm_extremes_flows,REPO005,repository,NDelventhal/cot_reports,cot_mm_extremes_flows,"Managed Money net Disaggregated: extremes de percentile (>p90/<p10, z expandant) et FLUX hebdo, dates publication vendredi -> direction CBOT H5-H40 + contexte ADVERSE",COT Disaggregated + calendrier publication CFTC,positioning,H5-H40,Teste ce que V18 n a pas falsifie (V18 = net total seulement),medium,high,not_started,EXT003,high,Interaction avec uptrend CBOT (V39-E6). Calendrier de publication = prerequis dur.,REJECT,Aucun signal de second ordre dans MM disaggregated; dossier COT clos,-,non
EXT041_stage_weather_vs_condition,Taylor_2010,paper,Crop condition reports are not enough + Lehecka 2014,stage_weather_vs_condition,"Test en 2 etages: (1) indice de stress par stade (Tmin pollinisation, deficit P-ET remplissage, pondere production) predit-il la surprise de notation du lundi suivant? (2) si oui, predit-il le CBOT avant la notation?",Meteo historique par Etat + crop calendar + notations NASS,weather_crop,H5-H20,Avance informationnelle sur les notations,high,medium,not_started,EXT027,high,"Etage 1 est un test SANS marche: peu couteux et falsifiable proprement; si echec, abandonner l etage 2",NOT_RUN,Propose mais non execute; donnee publique datee disponible,Absorbe partiellement par EXT019; voie la plus actionnable saison,a tester (etape future)
EXT042_us_weather_premium_vs_ema_premium,PAPER007,paper,Li-Hayes-Jacobs weather premium,us_weather_premium_vs_ema_premium,Descriptif: la prime meteo US (trajectoire du contrat decembre vs recolte) et notre prime EMA sont-elles correlees en ete? Une part de la prime locale V16 serait-elle une prime meteo US importee?,Contrats CBOT Z + basis officiel V26,weather_premium,H40-H120,Decomposition economique de la prime EMA,medium,low,not_started,EXT018,high,Descriptif d abord; ne devient feature que si la correlation saisonniere est stable,PARTIAL_DATA,Volet descriptif valide; predictif non exploitable ex ante (V45),Sourcer contrats Dec + brancher EXT033,non (descriptif seulement)
EXT043_regional_supply_anomalies_to_premium,PAPER029,paper,AGRICAF (Zelingher et al.),regional_supply_anomalies_to_premium,"Anomalies de production WASDE par region (US, Bresil/Argentine, UE, Ukraine; datees publication, z expandant) -> (a) direction CBOT H60-H252, (b) NIVEAU de la prime EMA H60+ (test fondamental inedit: V16 n avait teste que macro/FX/energie)",WASDE world vintages (EXT026),fundamental_supply,H60-H252,Premier test offre-regionale sur la prime,high,high,not_started,EXT024,high,"Peu d observations independantes (mensuel, horizons longs): significativite a traiter avec LOYO + DM prudents",IMPROVE,Signal directionnel le plus fort du programme; parcimonie (1 signal/horizon),"Corrige etape5bis (n 3961->3933); DM non signif, IC chevauche marche",oui (logit parcimonieux crop@H90 + wasde@H40)
EXT044_vecm_adjustment_speed_premium,PAPER016,paper,Penone-Giampietri-Trestini EU transmission,vecm_adjustment_speed_premium,"VECM {CBOT, EMA} officiel: vitesse d ajustement EMA->equilibre >> CBOT->equilibre (formalisation publiable de V21: 69% de la compression par la jambe CBOT)","EMA officiel V26 + CBOT, quotidien",basis,H20-H90,Formalisation econometrique de V21 + vitesse comme variable de regime,medium,low,not_started,EXT013,high,Estimation expandante; la vitesse d ajustement roulante peut nourrir la machine d etat V139,DATA_BLOCKED,Basis EUR/t non reconstructible sans eurusd quotidien,Sourcer FRED DEXUSEU/ECB + FranceAgriMer,non (bloque)
EXT045_egarch_inverse_leverage,PAPER009,paper,Musunuru-Yu-Larson GARCH corn,egarch_inverse_leverage,"EGARCH expandant sur CBOT: terme d asymetrie positif (inverse leverage des grains: chocs haussiers -> vol future plus haute)? Si oui, flag choc haussier recent comme amplificateur de risque court terme",Retours CBOT quotidiens,volatility,H5-H40,Vol conditionnelle plus fine pour gates UNCERTAIN_VOL et drawdown_risk V23,medium,low,not_started,EXT009,medium_high,arch en import optionnel (regle projet); comparer a realized_vol_60d et HAR (EXT010),KEEP,Gate de risque actionnable; vol se prevoit (contrairement au prix),"EGARCH si asymetrie voulue, sinon HAR",oui (gate de risque du score de vente)
EXT050_model_stacking_ensemble,,internal,etape5,model_stacking_ensemble,Ensemble externe (meta-modele logit) des modeles directionnels P2,,ensemble,H40/H90,,,none,done_step5_REJECT,EXT050,P2_step5,COLLISION RESOLUE (etape5bis): EXT028 (satellite) ET EXT029 (corn-crush) deja reserves au catalogue -> stacking renumerote EXT050 (hors plage EXT001-045). Verdict etape5: REJECT (le stacking sur-apprend ; 1re moitie <=0.5 ; parcimonie>empilement). Re-run post-correction target_date: verdict inchange.,REJECT,Le meta-modele sur-apprend avec un edge faible; parcimonie gagne,"ex-EXT028 (collision EXT028/029 catalogue), re-run etape5bis",non
