experiment_id,experiment_name,main_sources,hypothesis,data_required,features_to_create,model_or_benchmark,target_horizons,evaluation_protocol,leakage_constraints,expected_benefit,difficulty,priority,status,notes,verdict,next_action,data_status,leakage_risk_result,best_metric_gain,best_horizon,direction_accuracy_change,volatility_metric_gain,overfitting_risk,final_verdict,final_reason,integrate_in_main_study,step7_action
EXT009,volatility_benchmarks_garch_har,PAPER009 Musunuru + PAPER037 HAR + PAPER042 Samuelson,"GARCH(1,1)/EGARCH/HAR expandants battent realized_vol_60d pour prevoir la vol CBOT H5-H40; l asymetrie inverse (chocs haussiers -> vol) existe sur les grains",Retours CBOT quotidiens,Vol conditionnelle GARCH; HAR (1j/5j/22j); terme d asymetrie EGARCH (EXT045); saisonnalite de vol,GARCH/EGARCH/HAR vs realized_vol_60d vs vol naive,"H5-H40 (vol, pas direction)","QLIKE/RMSE de vol OOF, DM; estimation expandante stricte",Parametres reestimes sur passe uniquement; pas de vol future dans les fenetres,Meilleurs gates UNCERTAIN_VOL + drawdown_risk V23 + sizing,medium,P2_medium,done_step5,Fusionne EXT009+EXT010+EXT045 en une seule experience de vol; arch/statsmodels en imports optionnels | Etape 5 (2026-06-13): KEEP. EGARCH meilleur GARCH (~HAR); filtre vol neutralise le regime ou le signal s'inverse (PnL<0),KEEP,"Gate de risque du score de vente; HAR pour simplicite, EGARCH si asymetrie voulue",DATA_READY,none,EGARCH meilleur GARCH (~HAR); filtre vol neutralise le regime ou le signal s'inverse (PnL<0),H90,filtre vol: 0.658->0.688 (drop decile haut vol),EGARCH RMSE -24% vs RW@H90 (5.97 vs 7.90),low,KEEP,Gate de risque actionnable; vol se prevoit (contrairement au prix),"EGARCH si asymetrie voulue, sinon HAR",oui (gate de risque du score de vente)
EXT013,vecm_cbot_ema_transmission,PAPER016 Penone et al.,"Dans un VECM {CBOT, EMA}, la vitesse d ajustement de l EMA vers l equilibre domine (formalisation de V21); la vitesse roulante est une variable de regime de la machine d etat",EMA officiel V26 + CBOT quotidien (deja internes),Vitesses d ajustement roulantes/expandantes (EXT044),Johansen + VECM vs correlation simple,H20-H90,"Estimation expandante, stabilite des coefficients, lien descriptif avec episodes ADVERSE",Estimation expandante; pas de selection de periode a posteriori,Formalisation publiable de V21 + intrant machine d etat V139,medium,P2_medium,done_step4,Volet spot UE (vraie transmission physique) reste DATA_BLOCKED: pistes FranceAgriMer/Bologne a sourcer | Etape 4 (2026-06-13): DATA_BLOCKED. -,DATA_BLOCKED,Pas d'EUR/USD quotidien historique ni spot UE quotidien. Sourcer FRED DEXUSEU/ECB + FranceAgriMer,DATA_BLOCKED,-,-,-,,,,DATA_BLOCKED,Basis EUR/t non reconstructible sans eurusd quotidien,Sourcer FRED DEXUSEU/ECB + FranceAgriMer,non (bloque)
EXT033,weather_forecast_archive_features,CropProphet 2026 + V136 interne + V45,"Les REVISIONS de previsions meteo (chaud/sec juin-aout, zones corn US) predisent la direction CBOT H1-H10; le realise ne le fait pas (V45)",Archive previsions V136 (2026+) + reconstruction previous-runs Open-Meteo,"revision_j = prev(j,h) - prev(j-1,h+1) agregee en indice chaud/sec; vol de prevision",Logistique simple vs RW,H1-H10,Forward sur saison 2026 + retro si reconstruction possible; seuils fixes ex ante,Uniquement des previsions archivees AVANT la date de decision; separation stricte realise/prevu,Seule voie meteo predictive coherente avec V45,high,P2_medium_data_gated,proposed,Data-gated: profondeur d archive courte; les chiffres CropProphet ne sont pas une evidence,,,,,,,,,,DATA_BLOCKED,Seule voie meteo predictive (V45); archive forward trop courte,Accumuler archive previsions forward 2026+,non (en attente d'archive)
EXT011,trend_following_benchmark,REPO007 PyTrendFollow + REPO008/REPO009,"EWMAC(16,64)+vol targeting sur CBOT fixe le plancher technique que tout signal fondamental doit battre; le trend CBOT est deja un contexte prouve chez nous (V39-E4)",CBOT continu propre (EXT006),Signal EWMAC normalise; conversion en DA pour comparabilite,EWMAC fige ex ante vs RW,H20-H120,"Backtest net couts 3-5 EUR/t eq., DA, DM vs RW; AUCUN tuning de parametres",Parametres standards figes ex ante (16/64); pas d optimisation sur periode de test,Plancher de reference + candidat remplacant d above_trend_252,low,P3_later,done_step5,"Etape 5 (2026-06-13): REJECT. trend-following echoue sur le mais (Sharpe<=0.20, drawdowns enormes)",REJECT,Negative control: l'edge EXT024 n'est PAS du momentum; abandonner trend comme predicteur,DATA_READY,none,"trend-following echoue sur le mais (Sharpe<=0.20, drawdowns enormes)",-,tous signaux trend DA<0.5 (mom120 ~0.39),-,low,REJECT,Le mais ne tend pas; negative control: l'edge EXT024 n'est PAS du momentum,"Plancher technique de reference, abandonne comme predicteur",non (negative control)
EXT012,ou_mean_reversion_benchmark,REPO006 OU + PAPER041,L OU calibre en expandant sur basis_z formalise la demi-vie V10 et reduit l ecart demi-vie analytique vs horizon trade reel (V138: x3),Basis officiel quotidien,theta/mu/demi-vie expandants + IC sur theta (abstention si incertain),OU vs AR(1) roulant V10,H20-H90,Erreur de prediction du temps de reversion realise vs V10/V138; estimation expandante,Calibration sur passe uniquement,Plafond de detention et timing de sortie mieux fondes,medium,P3_later,done_step5,"GPL v3 sur le repo: reimplementer (trivial) | Etape 5 (2026-06-13): DATA_BLOCKED. OU vise basis/spread stationnaire, or EXT013/EXT005 DATA_BLOCKED; pas de simulation artificielle",DATA_BLOCKED,Rouvrir apres acquisition eurusd quotidien (+ spot UE / contrats CBOT),DATA_BLOCKED,-,"OU vise basis/spread stationnaire, or EXT013/EXT005 DATA_BLOCKED; pas de simulation artificielle",-,-,-,-,DATA_BLOCKED,Pas de basis quotidien; aucune simulation artificielle,Rouvrir apres acquisition eurusd quotidien,non (bloque)
EXT014,dma_inclusion_diagnostics,PAPER031 Drachal,"Le DMA par famille de features ne battra probablement pas la logistique 2 vars, mais l inclusion probability sequentielle diagnostique QUAND chaque famille est informative",Predictions/features OOF internes existantes,"Poids DMA par famille (basis, saison, courbe, meteo)",DMA vs logistique 2 vars vs RW,H20-H40,"Sequentiel pur (anti-fuite par construction), DM; livrable principal = courbes d inclusion","Mise a jour sequentielle stricte, facteur d oubli fixe ex ante",Diagnostic de regime pour V124 (sante du signal),high,P3_later,done_step5,"Limiter a ~4 familles (2^4=16 modeles), pas aux features individuelles | Etape 5 (2026-06-13): IMPROVE. gain de stabilite/robustesse mais ne bat pas le meilleur modele seul; rw_baserate neutralise",IMPROVE,Filet de securite si regime change; preferer choix parcimonieux par horizon,DATA_READY,none,gain de stabilite/robustesse mais ne bat pas le meilleur modele seul; rw_baserate neutralise,H90,"BMA 0.627 (H90): bat market_only, < market+crop seul",-,low,IMPROVE,Gain de robustesse seulement; ne depasse pas le meilleur modele seul,Preferer choix parcimonieux par horizon,partiel (filet de securite)
EXT015,shap_selection_in_split,PAPER032 + PAPER020,La selection SHAP/MI estimee DANS chaque split train retrouve basis_z+saison (validation independante de V10-B); toute selection sur tout le dataset est interdite,Matrice de features V9 + splits OOF internes,Aucune nouvelle (protocole de selection),Logistique re-selectionnee par split vs 2 vars fixe,H20-H40,"OOF purged embargo, stabilite de la selection entre splits",Selection a l interieur de chaque train uniquement (anti_leak n10),"Confirme/infirme la parcimonie 2 vars une 5e fois, proprement",medium,P3_later,done_step5,shap en import optionnel | Etape 5 (2026-06-13): KEEP. s2u_z/s2u_pctile + cond_anom/dev5y/poor_vp stables (importance>0 16/16 ans); parcimonie>RF,KEEP,Garder ces variables pour etape 6; jeter dummies bilan_tight/loose et momentum court,DATA_READY,none (selection train-only),s2u_z/s2u_pctile + cond_anom/dev5y/poor_vp stables (importance>0 16/16 ans); parcimonie>RF,H90,logit top6 train-only 0.656 vs marche 0.599 (H90),-,low,KEEP,Valide que s2u_z/pctile + cond_anom/dev5y/poor_vp ressortent train-only stablement,"Jeter dummies bilan_tight/loose, momentum court",oui (liste de variables retenue)
EXT016,nbeatsx_exogenous_model,REPO011 nbeatsx + PAPER002 Brignoli + PAPER020,"NBEATSx avec exogenes {basis_z, saison, meteo prevue} ne bat pas la logistique 2 vars hors bruit (verdict honnete attendu: REJECT) - mais c est LE test DL propre si on en fait un",Features internes + cibles H20-H40,Aucune nouvelle,NBEATSx (budget hyperopt minimal) vs 2 vars vs RW,H20-H40,"Validation bloquee temporelle, ensembles legers, test Giacomini-White",Pas de random validation; normalisation par split; pas de fuite de fenetres chevauchantes,Cloture documentee du dossier DL,high,P4_conditional,done_step5,"Ne lancer qu apres EXT025 + blocs fondamentaux; MIT license OK | Etape 5 (2026-06-13): NOT_WORTH_YET. non lance: torch absent, trop peu d'obs independantes H90, complexite deja montree nuisible",NOT_WORTH_YET,Rouvrir seulement avec donnees plus riches (intraday/options/courbe) + regularisation forte,DATA_READY (deps absentes),-,"non lance: torch absent, trop peu d'obs independantes H90, complexite deja montree nuisible",-,-,-,HIGH attendu,NOT_WORTH_YET,DL non justifie vu l'edge faible; sur-apprentissage demontre (RF,non, stacking)
EXT001,weather_crop_windows,,,,,,,,,,,,done_step4,Etape 4 (2026-06-13): REJECT. dRMSE +8.5% (pire); dDA +0.017 H5 (negligeable),REJECT,Abandon comme predicteur de retour; meteo realisee = contexte seulement (confirme V45),DATA_READY,none,dRMSE +8.5% (pire); dDA +0.017 H5 (negligeable),-,,,,REJECT,Meteo realisee price-in par anticipation (confirme V45),-,non (contexte seulement)
EXT002,weather_lags_and_anomalies,,,,,,,,,,,,done_step4,Etape 4 (2026-06-13): REJECT. dRMSE +7% (pire); dDA +0.029 H40 mais instable/R2 negatif,REJECT,Abandon direction; lags/anomalies realises non exploitables,DATA_READY,none,dRMSE +7% (pire); dDA +0.029 H40 mais instable/R2 negatif,H40,,,,REJECT,Lags/anomalies realises non exploitables,-,non
EXT020,extreme_weather_events,,,,,,,,,,,,done_step4,Etape 4 (2026-06-13): REJECT. dRMSE +32 a +116% (pire); R2 OOS jusqu'a -3.4,REJECT,Extremes realises non predictifs; garder en contexte (basis moins compressible),DATA_READY,none,dRMSE +32 a +116% (pire); R2 OOS jusqu'a -3.4,-,,,,REJECT,Extremes realises non predictifs; price-in,-,non (contexte: basis moins compressible)
EXT008,wasde_surprise_proxy,,,,,,,,,,,,done_step4,"Etape 4 (2026-06-13): REJECT. dDA -16 pts; RMSE pire (revisions M-M-1, sans consensus)",REJECT,Surprise WASDE non captable en quotidien (Huang-Serra-Garcia); sourcer consensus analystes pour rouvrir,DATA_READY,none,"dDA -16 pts; RMSE pire (revisions M-M-1, sans consensus)",-,,,,REJECT,Surprise sans consensus analystes non captable en quotidien (Huang-Serra-Garcia),Sourcer consensus analystes pour rouvrir,non
EXT019,crop_condition_report_features,,,,,,,,,,,,done_step4,"Etape 4 (2026-06-13): IMPROVE. dDA +4.4 pts H90 (stable 2 moities), RMSE neutre; nul a court terme",IMPROVE,Cible DIRECTION/score de vente long-horizon; combiner avec WASDE stocks-to-use (EXT007),DATA_READY,none (publication lundi->mardi),"dDA +4.4 pts H90 (stable 2 moities), RMSE neutre; nul a court terme",H90,,,,IMPROVE,Meilleur signal fondamental directionnel long horizon; DM non significatif,Combiner avec WASDE stocks-to-use,oui (cible direction/score long-horizon)
EXT017,EXT017,,,,,,,,,,,P2_step5,done_step5,"Etape 5 (2026-06-13): IMPROVE. signal fort en uptrend/low-vol/bilan extreme, nul en neutre/normal/good-crop",IMPROVE,Utiliser regimes comme conditionnement du score de confiance; valider filtre en forward; pas de modele par regime,DATA_READY,none (regimes passe-only),"signal fort en uptrend/low-vol/bilan extreme, nul en neutre/normal/good-crop",H90,uptrend balanced 0.718 vs neutral 0.468 (H90),-,medium (slicing post-hoc),IMPROVE,Explique QUAND le signal marche; conditionnement de confiance, pas modele par regime),oui (conditionnement du score
EXT010,EXT010,,,,,,,,,,,P2_step5,done_step5,Etape 5 (2026-06-13): KEEP. HAR bat RW-vol et rolling20 sur RMSE/MAE/QLIKE a tous les horizons,KEEP,Benchmark de volatilite principal; brique des gates de risque,DATA_READY,none,HAR bat RW-vol et rolling20 sur RMSE/MAE/QLIKE a tous les horizons,H90,-,"HAR RMSE -23% vs RW@H90 (0.060 vs 0.079), meilleur QLIKE tous H",low,KEEP,Benchmark vol principal; simple et robuste sans tuning,"La volatilite SE prevoit, le prix non",oui (benchmark vol principal)
EXT050,model_stacking_ensemble,,,,,,,,,,,P2_step5,done_step5bis,Etape 5bis (2026-06-13): REJECT (re-run post-correction target_date). Renomme EXT028->EXT050 (EXT028/EXT029 reserves au catalogue). le stacking sur-apprend; parcimonie>empilement,REJECT,Ne pas empiler; garder modele simple par horizon,DATA_READY,none,le stacking sur-apprend; parcimonie>empilement avec un edge faible,-,"stack 1re moitie <=0.5 (instable), < moyenne simple et meilleur membre",-,HIGH (stacking sur-apprend),REJECT,Le meta-modele sur-apprend avec un edge faible; parcimonie gagne,"ex-EXT028 (collision EXT028/029 catalogue), re-run etape5bis",non
