experiment_id,experiment_name,family,step,data_status,main_target,best_horizon,best_result_summary,price_rmse_result,direction_result,volatility_result,stability,leakage_risk,overfitting_risk,final_verdict,reason,recommended_action,integrate_in_main_study,notes
EXT025,random_walk_and_futures_price_benchmark,benchmarks,P0,DATA_READY,price/return,H5-H90,RW imbattable: 0/36 couples benchmark x horizon ne battent la RW (DM p<0.10),RW best (reference); aucune baseline naive ne bat,none,none,stable,none,low,KEEP,La random walk est la baseline de prix la plus dure; reference de tout le programme,oui (deja le benchmark implicite),"Tableau metrics_ext025.csv = reference RMSE pour tout EXT"
EXT014,bayesian_model_averaging,combinaison modeles,P2,DATA_READY,direction,H90,BMA 0.633 H90: bat marche seul mais < meilleur membre (crop 0.661),n/a,+0.029 vs marche; dilue le meilleur membre,n/a,+ stable que membres,none,low,IMPROVE,Gain de robustesse seulement; ne depasse pas le meilleur modele seul,partiel (filet de securite),"Preferer choix parcimonieux par horizon"
EXT050,model_stacking_ensemble,combinaison modeles,P2,DATA_READY,direction,—,stack instable (1re moitie 0.484/0.500 <=0.5) < moyenne simple < meilleur membre,n/a,negatif (sur-apprend),n/a,instable,none,HIGH,REJECT,Le meta-modele sur-apprend avec un edge faible; parcimonie gagne,non,"ex-EXT028 (collision EXT028/029 catalogue), re-run etape5bis"
EXT001,weather_crop_windows,meteo realisee,P1,DATA_READY,direction/return,—,dRMSE +8.5% (pire); dDA +0.017 H5 negligeable,degrade,negligeable,n/a,n/a,none,low,REJECT,Meteo realisee price-in par anticipation (confirme V45),non (contexte seulement),"-"
EXT002,weather_lags_and_anomalies,meteo realisee,P1,DATA_READY,direction/return,H40,dRMSE +7% (pire); dDA +0.029 H40 mais instable R2 negatif,degrade,instable,n/a,instable,none,low,REJECT,Lags/anomalies realises non exploitables,non,"-"
EXT020,extreme_weather_events,meteo realisee,P1,DATA_READY,direction/return,—,dRMSE +32 a +116% (pire); R2 OOS jusqu'a -3.4,degrade fortement,negatif,n/a,n/a,none,low,REJECT,Extremes realises non predictifs; price-in,non (contexte: basis moins compressible),"-"
EXT008,wasde_surprise_proxy,WASDE surprise,P1,DATA_READY,direction/return,—,dDA -16 pts; RMSE pire,degrade,negatif,n/a,n/a,none,low,REJECT,Surprise sans consensus analystes non captable en quotidien (Huang-Serra-Garcia),non,"Sourcer consensus analystes pour rouvrir"
EXT003,cot_features,COT,P1,DATA_READY (2016+),direction/return,—,degrade RMSE et DA a tous horizons,degrade,negatif,n/a,n/a,none (calendrier vendredi),low,REJECT,Aucun signal de second ordre dans MM disaggregated; dossier COT clos,non,"-"
EXT004,ethanol_ddg_crush_spread,ethanol/energie,P1,PARTIAL_DATA,direction/return,—,proxys energie/demande degradent RMSE+DA,degrade,negatif,n/a,n/a,none,low,REJECT,Sans prix ethanol/DDG pas de vraie marge crush; proxys inutiles,non,"Sourcer prix ethanol CME/EIA + DDG AMS"
EXT005,futures_curve_spreads,courbe futures,P1,DATA_BLOCKED,direction/return,—,non testable: pas de contrats CBOT par maturite (front-only),n/a,n/a,n/a,n/a,n/a,n/a,DATA_BLOCKED,Pas de courbe profonde; EMA accumulee ~2 semaines,non (bloque),"Sourcer contrats CBOT par maturite + courbe >=250j"
EXT013,basis_and_spot_futures_transmission,basis/VECM,P1,DATA_BLOCKED,direction/regime,—,non testable: pas d'EUR/USD quotidien ni spot UE quotidien,n/a,n/a,n/a,n/a,n/a,n/a,DATA_BLOCKED,Basis EUR/t non reconstructible sans eurusd quotidien,non (bloque),"Sourcer FRED DEXUSEU/ECB + FranceAgriMer"
EXT018,weather_risk_premium_new_crop,prime meteo new-crop,P1,PARTIAL_DATA,direction/descriptif,—,descriptif CONFIRME (Janzen); predictif REJECT (stress connu en contemporain seulement),n/a,predictif non ex ante,n/a,n/a,conditionnement contemporain,low,PARTIAL_DATA,Volet descriptif valide; predictif non exploitable ex ante (V45),non (descriptif seulement),"Sourcer contrats Dec + brancher EXT033"
EXT027,crop_progress_condition_surprises,Crop surprises,P1,DATA_READY (NASS public),direction,H5-H20,non lance (propose); surprise hebdo de condition,n/a,n/a,n/a,n/a,none (lundi 16h->J+1),—,NOT_RUN,Propose mais non execute; donnee publique datee disponible,a tester (etape future),"Absorbe partiellement par EXT019; voie la plus actionnable saison"
EXT012,ou_mean_reversion_benchmark,mean-reversion,P2,DATA_BLOCKED,timing reversion,—,non lance: cible basis/spread stationnaire bloquee (EXT013/EXT005),n/a,n/a,n/a,n/a,n/a,n/a,DATA_BLOCKED,Pas de basis quotidien; aucune simulation artificielle,non (bloque),"Rouvrir apres acquisition eurusd quotidien"
EXT016,nbeatsx_exogenous_model,deep learning,P2,DATA_READY (deps absentes),direction/return,—,non lance: torch absent; trop peu d'obs independantes H90; complexite deja nuisible,n/a,n/a,n/a,n/a,n/a,HIGH attendu,NOT_WORTH_YET,DL non justifie vu l'edge faible; sur-apprentissage demontre (RF, stacking),non,"Rouvrir avec donnees plus riches + regularisation forte"
EXT033,weather_forecast_archive_features,meteo prevue,P1/P2,DATA_GATED,direction,H1-H10,non lance (data-gated): revisions de previsions meteo forward,n/a,n/a,n/a,n/a,separation realise/prevu stricte,—,DATA_BLOCKED,Seule voie meteo predictive (V45); archive forward trop courte,non (en attente d'archive),"Accumuler archive previsions forward 2026+"
